93.157.9.50 - - [28/Aug/2013:13:34:48 +0300] "GET / HTTP/1.1" 403 566 "http://donntu.edu.ua/index.php?option=com_content&view=article&id=71&Itemid=2&lang=uk" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36 OPR/15.0.1147.153"
93.157.9.50 - - [28/Aug/2013:13:34:48 +0300] "GET /favicon.ico HTTP/1.1" 403 557 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36 OPR/15.0.1147.153"
91.232.202.50 - - [28/Aug/2013:13:37:35 +0300] "GET /wp-content/pictures/kaukas_2013.jpg HTTP/1.1" 403 557 "http://www.google.com/search?client=ms-android-samsung&site=webhp&tbm=isch&sa=1&ei=DNodUtWVHsWK4ATZroG4AQ&q=%D1%82%D0%B5%D0%B1%D0%B5%D1%80%D0%B4%D0%B0+%D0%BB%D0%B5%D1%82%D0%BE%D0%BC+2013&oq=%D1%82%D0%B5%D0%B1%D0%B5%D1%80%D0%B4%D0%B0+%D0%BB%D0%B5%D1%82%D0%BE%D0%BC+2013&gs_l=mobile-gws-serp.12...296577.303362.0.304579.11.7.0.4.4.0.577.1934.0j2j3j1j0j1.7.0....0...1c.1.25.mobile-gws-serp..5.6.1317.iV_7Mne-Xn4&biw=320&bih=460&sei=QdsdUoX8Oafh4QTTjIDwAQ" "Mozilla/5.0 (Linux; U; Android 4.1.2; ru-ru; GT-I9100 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
37.140.141.22 - - [28/Aug/2013:13:40:10 +0300] "GET /icons/compressed.gif HTTP/1.1" 304 - "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)"
66.249.78.49 - - [28/Aug/2013:13:41:24 +0300] "GET /wp-content/pictures/Pinguin%20Expert2.jpg HTTP/1.1" 403 557 "-" "Googlebot-Image/1.0"
194.44.0.254 - - [28/Aug/2013:13:42:10 +0300] "GET / HTTP/1.1" 403 566 "http://www.google.com.ua/url?sa=t&rct=j&q=&esrc=s&source=web&cd=6&ved=0CFoQFjAF&url=http%3A%2F%2Fturclub.donntu.edu.ua%2F&ei=l9wdUrbuGaql4gTEkICoAw&usg=AFQjCNGGJoCLQ-Mw5F3PB-MGd9Wl-I9QUQ&sig2=f620FNIVHvRWuPoZeXcUnA&bvm=bv.51156542,d.bGE&cad=rja" "Mozilla/5.0 (X11; Linux x86_64; rv:22.0) Gecko/20100101 Firefox/22.0"
194.44.0.254 - - [28/Aug/2013:13:42:10 +0300] "GET /favicon.ico HTTP/1.1" 403 557 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:22.0) Gecko/20100101 Firefox/22.0"
194.44.0.254 - - [28/Aug/2013:13:42:10 +0300] "GET /favicon.ico HTTP/1.1" 403 557 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:22.0) Gecko/20100101 Firefox/22.0"
95.59.180.184 - - [28/Aug/2013:13:45:14 +0300] "GET /wp-content/pictures/kaukas_2013.jpg HTTP/1.1" 403 557 "http://images.yandex.kz/yandsearch?source=wiz&uinfo=sw-1263-sh-933-fw-1038-fh-598-pd-1&tld=kz&p=7&text=%D0%BA%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%BA%D0%B8%20%D0%BA%D0%B0%D0%B2%D0%BA%D0%B0%D0%B7%D1%81%D0%BA%D0%B8%D0%B5&noreask=1&pos=226&rpt=simage&lr=163&img_url=http%3A%2F%2Fic.pics.livejournal.com%2Fjokesmind%2F49562900%2F10038%2F10038_600.jpg" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/534.10 (KHTML, like Gecko) Chrome/8.0.552.224 Safari/534.10"
37.140.141.22 - - [28/Aug/2013:13:47:06 +0300] "GET /wp-includes/images/smilies/icon_neutral.gif HTTP/1.1" 406 - "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)"
